iso_code,country,year,co2,income,gdp
TUN,Tunisia,2018,30.357,LM,3.98E+10
BHR,Bahrain,2018,31.594,H,3.77E+10
LAO,Laos,2018,32.262,LM,1.80E+10
DNK,Denmark,2018,34.651,H,3.57E+11
NZL,New Zealand,2018,35.08,H,2.08E+11
SVK,Slovakia,2018,36.088,H,1.06E+11
CHE,Switzerland,2018,36.895,H,7.05E+11
AZE,Azerbaijan,2018,37.488,UM,4.71E+10
AGO,Angola,2018,37.679,LM,1.01E+11
TTO,Trinidad and Tobago,2018,37.866,H,2.38E+10
SGP,Singapore,2018,38.288,H,3.73E+11
ISR,Israel,2018,38.803,H,3.71E+11
SWE,Sweden,2018,41.766,H,5.55E+11
ECU,Ecuador,2018,41.818,UM,1.08E+11
HKG,Hong Kong,2018,42.506,H,3.62E+11
BGR,Bulgaria,2018,43.552,UM,6.62E+10
NOR,Norway,2018,43.818,H,4.34E+11
LBY,Libya,2018,45.206,UM,5.26E+10
FIN,Finland,2018,45.849,H,2.76E+11
SRB,Serbia,2018,46.053,UM,5.06E+10
HUN,Hungary,2018,49.628,H,1.60E+11
PRT,Portugal,2018,51.482,H,2.42E+11
PER,Peru,2018,54.21,UM,2.22E+11
BLR,Belarus,2018,61.872,UM,6.00E+10
ITA,Italy,2018,62.213,H,2.09E+12
MNG,Mongolia,2018,64.508,LM,1.31E+10
MAR,Morocco,2018,65.367,LM,1.18E+11
AUT,Austria,2018,66.72,H,4.55E+11
OMN,Oman,2018,71.03,H,7.98E+10
GRC,Greece,2018,71.798,H,2.18E+11
ROU,Romania,2018,76.951,UM,2.41E+11
TKM,Turkmenistan,2018,78.035,UM,4.08E+10
BGD,Bangladesh,2018,85.719,LM,2.74E+11
CHL,Chile,2018,85.829,H,2.98E+11
COL,Colombia,2018,92.228,UM,3.34E+11
BEL,Belgium,2018,100.208,H,5.44E+11
KGZ,Kyrgyzstan,2018,104.218,LM,8.27E+09
CZE,Czechia,2018,104.411,H,2.49E+11
QAT,Qatar,2018,109.245,H,1.83E+11
UZB,Uzbekistan,2018,113.938,LM,5.04E+10
VEN,Venezuela,2018,129.596,UM,9.84E+07
NGA,Nigeria,2018,136.078,LM,3.97E+11
PHL,Philippines,2018,138.924,LM,3.47E+11
NLD,Netherlands,2018,160.17,H,9.14E+11
DZA,Algeria,2018,164.309,UM,1.75E+11
ARG,Argentina,2018,185.03,UM,5.18E+11
ARE,United Arab Emirates,2018,188.541,H,4.22E+11
IRL,Ireland,2018,211.27,H,3.83E+11
VNM,Vietnam,2018,211.774,LM,2.45E+11
UKR,Ukraine,2018,231.694,LM,1.31E+11
PAK,Pakistan,2018,247.425,LM,3.15E+11
MYS,Malaysia,2018,249.144,UM,3.59E+11
EGY,Egypt,2018,251.461,LM,2.50E+11
ESP,Spain,2018,269.654,H,1.42E+12
TWN,Taiwan,2018,273.105,H,6.08E+11
THA,Thailand,2018,292.453,UM,5.07E+11
KEN,Kenya,2018,319.647,LM,8.78E+10
FRA,France,2018,331.725,H,2.79E+12
POL,Poland,2018,337.706,H,5.87E+11
JAM,Jamaica,2018,348.085,UM,1.57E+10
GBR,United Kingdom,2018,380.139,H,2.86E+12
AUS,Australia,2018,415.954,H,1.43E+12
TUR,Turkey,2018,419.195,UM,7.78E+11
MEX,Mexico,2018,451.081,UM,1.22E+12
BRA,Brazil,2018,466.649,UM,1.89E+12
ZAF,South Africa,2018,472.001,UM,3.68E+11
